Season,Round,home_EOL,away_EOL,home_result
2018,16,88,88,0
2018,16,69,70,0
2018,16,59,70,0
2018,17,83,75,1
2018,17,66,63,0
2018,17,69,87,-1
2018,17,88,75,1
2018,17,90,76,1
2018,17,71,59,0
2018,17,70,64,-1
2018,17,61,69,0
2018,17,70,63,0
2018,18,66,76,1
2018,18,71,75,0
2018,18,83,87,-1
2018,18,61,64,1
2018,18,63,59,1
2018,18,70,76,-1
2018,18,88,64,1
2018,18,68,69,0
2018,18,70,90,-1
2018,19,68,89,0
2018,19,90,61,1
2018,19,75,70,0
2018,19,87,66,1
2018,19,59,83,-1
2018,19,63,71,-1
2018,19,64,69,1
2018,19,76,63,1
2018,19,75,70,1
2018,20,59,76,1
2018,20,71,64,1
2018,20,70,87,0
2018,20,83,63,1
2018,20,70,61,1
2018,20,69,90,0
2018,20,63,75,1
2018,20,66,69,0
2018,20,89,75,1
2018,21,87,76,1
2018,21,90,83,1
2018,21,64,67,-1
2018,21,61,69,-1
2018,21,70,89,1
2018,21,75,71,1
2018,21,75,59,-1
2018,21,69,70,1
2018,21,63,63,1
2018,22,71,61,-1
2018,22,76,75,1
2018,22,83,69,1
2018,22,59,87,-1
2018,22,70,63,-1
2018,22,67,90,-1
2018,22,89,65,1
2018,22,63,75,1
2018,22,69,70,-1
2018,23,64,59,-1
2018,23,63,75,0
2018,23,87,64,1
2018,23,70,69,-1
2018,23,69,67,-1
2018,23,69,71,1
2018,23,90,76,1
2018,23,75,83,-1
2018,23,61,89,-1
2018,24,76,63,0
2018,24,70,65,1
2018,24,74,75,1
2018,24,71,88,-1
2018,24,67,70,1
2018,24,64,69,1
2018,24,59,90,-1
2018,24,83,61,1
2018,24,89,68,1
2018,25,90,89,1
2018,25,64,64,1
2018,25,87,74,1
2018,25,70,83,-1
2018,25,61,67,1
2018,25,69,71,1
2018,25,69,76,1
2018,25,75,70,0
2018,25,63,60,1
2018,26,83,69,1
2018,26,75,64,1
2018,26,88,63,1
2018,26,63,71,1
2018,26,60,75,1
2018,26,74,70,1
2018,26,69,61,0
2018,26,70,90,1
2018,26,67,88,-1
2018,27,69,61,0
2018,27,61,73,-1
2018,27,71,70,0
2018,27,64,88,-1
2018,27,90,64,1
2018,27,75,64,1
2018,27,69,69,1
2018,27,67,83,-1
2018,27,88,76,1
2018,28,64,69,-1
2018,28,74,64,1
2018,28,75,70,1
2018,28,64,61,0
2018,28,70,67,1
2018,28,61,68,1
2018,28,88,74,1
2018,28,83,88,1
2018,28,69,90,1
2018,29,74,75,1
2018,29,62,60,0
2018,29,70,73,0
2018,29,64,83,0
2018,29,69,88,-1
2018,29,67,69,0
2018,29,90,64,1
2018,29,88,70,1
2018,29,69,64,1
2018,30,70,83,-1
2018,30,61,70,-1
2018,30,64,64,1
2018,30,64,67,0
2018,30,74,69,0
2018,30,74,68,0
2018,30,88,90,-1
2018,30,69,88,-1
2018,30,75,62,0
2018,31,83,74,1
2018,31,70,69,0
2018,31,64,74,1
2018,31,70,88,-1
2018,31,62,64,1
2018,31,67,61,1
2018,31,69,75,1
2018,31,88,64,1
2018,31,90,69,1
2018,32,74,69,1
2018,32,69,64,-1
2018,32,88,62,-1
2018,32,61,88,-1
2018,32,75,67,1
2018,32,64,70,1
2018,32,74,90,-1
2018,32,69,83,-1
2018,32,64,69,1
2018,33,84,64,0
2018,33,70,61,1
2018,33,62,74,-1
2018,33,88,88,0
2018,33,68,64,-1
2018,33,69,69,1
2018,33,67,74,1
2018,33,90,64,1
2018,33,70,75,0
2018,34,64,67,-1
2018,34,74,90,-1
2018,34,64,70,1
2018,34,75,84,1
2018,34,64,69,0
2018,34,61,70,1
2018,34,88,69,1
2018,34,74,88,1
2018,34,69,62,1
2016,1,58,87,-1
