,Home_Team,Away_Team,Result,Link,Season,Round,League,reduced_link,Date_New,Referee,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Categorical Result
118,Nottingham Forest,Coventry City,2-1,https://www.besoccer.com/match/nottingham-forest-fc/coventry-city/202175713,2021,10,championship,/match/nottingham-forest-fc/coventry-city/2021,"Wednesday, 04 November 2020, 20:45", Eltringham G.,1,0,2,0,Home Win
119,Rotherham United,Luton Town,0-1,https://www.besoccer.com/match/rotherham-united/luton-town-fc/202175714,2021,10,championship,/match/rotherham-united/luton-town-fc/2021,"Wednesday, 04 November 2020, 20:45", Madley A.,1,0,1,0,Away Win
120,Cardiff City,Bristol City,0-1,https://www.besoccer.com/match/cardiff-city-fc/bristol-city-fc/202175720,2021,11,championship,/match/cardiff-city-fc/bristol-city-fc/2021,"Friday, 06 November 2020, 19:00", Webb D.,1,0,1,0,Away Win
121,Reading,Stoke City,0-3,https://www.besoccer.com/match/reading-fc/stoke-city/202175725,2021,11,championship,/match/reading-fc/stoke-city/2021,"Saturday, 07 November 2020, 13:30", Stroud K.,0,0,2,0,Away Win
122,Birmingham City,AFC Bournemouth,1-3,https://www.besoccer.com/match/birmingham-city-fc/afc-bournemouth/202175717,2021,11,championship,/match/birmingham-city-fc/afc-bournemouth/2021,"Saturday, 07 November 2020, 16:00", Gillett J.,2,0,1,0,Away Win
123,Blackburn Rovers,Queens Park Rangers,3-1,https://www.besoccer.com/match/blackburn-rovers-fc/queens-park-rangers-fc/202175718,2021,11,championship,/match/blackburn-rovers-fc/queens-park-rangers-fc/2021,"Saturday, 07 November 2020, 16:00", Robinson T.,1,0,3,0,Home Win
124,Brentford,Middlesbrough,0-0,https://www.besoccer.com/match/brentford/middlesbrough-fc/202175719,2021,11,championship,/match/brentford/middlesbrough-fc/2021,"Saturday, 07 November 2020, 16:00", Linington J.,1,0,0,0,Draw
125,Derby County,Barnsley,0-2,https://www.besoccer.com/match/derby-county-fc/barnsley-fc/202175721,2021,11,championship,/match/derby-county-fc/barnsley-fc/2021,"Saturday, 07 November 2020, 16:00", Doughty L.,3,0,2,0,Away Win
126,Huddersfield Town,Luton Town,1-1,https://www.besoccer.com/match/huddersfield-town-fc/luton-town-fc/202175722,2021,11,championship,/match/huddersfield-town-fc/luton-town-fc/2021,"Saturday, 07 November 2020, 16:00", Langford O.,1,0,5,0,Draw
127,Norwich City,Swansea City,1-0,https://www.besoccer.com/match/norwich-city-fc/swansea-city-afc/202175723,2021,11,championship,/match/norwich-city-fc/swansea-city-afc/2021,"Saturday, 07 November 2020, 16:00", England D.,1,0,5,0,Home Win
128,Nottingham Forest,Wycombe Wanderers,2-0,https://www.besoccer.com/match/nottingham-forest-fc/wycombe-wanderers/202175724,2021,11,championship,/match/nottingham-forest-fc/wycombe-wanderers/2021,"Saturday, 07 November 2020, 16:00", Donohue M.,1,0,2,0,Home Win
129,Rotherham United,Preston North End,2-1,https://www.besoccer.com/match/rotherham-united/preston-north-end/202175726,2021,11,championship,/match/rotherham-united/preston-north-end/2021,"Saturday, 07 November 2020, 16:00", Davies A.,1,0,2,0,Home Win
130,Sheffield Wednesday,Millwall,0-0,https://www.besoccer.com/match/sheffield-wednesday-fc/millwall-fc/202175727,2021,11,championship,/match/sheffield-wednesday-fc/millwall-fc/2021,"Saturday, 07 November 2020, 16:00", Harrington T.,2,0,0,0,Draw
131,Watford,Coventry City,3-2,https://www.besoccer.com/match/watford-fc/coventry-city/202175728,2021,11,championship,/match/watford-fc/coventry-city/2021,"Saturday, 07 November 2020, 16:00", Hooper S.,1,0,2,0,Home Win
132,Coventry City,Birmingham City,0-0,https://www.besoccer.com/match/coventry-city/birmingham-city-fc/202175732,2021,12,championship,/match/coventry-city/birmingham-city-fc/2021,"Friday, 20 November 2020, 20:45", Langford O.,1,0,0,0,Draw
133,AFC Bournemouth,Reading,4-2,https://www.besoccer.com/match/afc-bournemouth/reading-fc/202175729,2021,12,championship,/match/afc-bournemouth/reading-fc/2021,"Saturday, 21 November 2020, 13:30", Bond D.,3,0,1,0,Home Win
134,Barnsley,Nottingham Forest,2-0,https://www.besoccer.com/match/barnsley-fc/nottingham-forest-fc/202175730,2021,12,championship,/match/barnsley-fc/nottingham-forest-fc/2021,"Saturday, 21 November 2020, 16:00", Woolmer A.,0,0,1,0,Home Win
135,Bristol City,Derby County,1-0,https://www.besoccer.com/match/bristol-city-fc/derby-county-fc/202175731,2021,12,championship,/match/bristol-city-fc/derby-county-fc/2021,"Saturday, 21 November 2020, 16:00", Stroud K.,1,0,1,0,Home Win
136,Luton Town,Blackburn Rovers,1-1,https://www.besoccer.com/match/luton-town-fc/blackburn-rovers-fc/202175733,2021,12,championship,/match/luton-town-fc/blackburn-rovers-fc/2021,"Saturday, 21 November 2020, 16:00", Ward G.,0,0,4,0,Draw
137,Middlesbrough,Norwich City,0-1,https://www.besoccer.com/match/middlesbrough-fc/norwich-city-fc/202175734,2021,12,championship,/match/middlesbrough-fc/norwich-city-fc/2021,"Saturday, 21 November 2020, 16:00", Harrington T.,0,0,1,0,Away Win
138,Millwall,Cardiff City,1-1,https://www.besoccer.com/match/millwall-fc/cardiff-city-fc/202175735,2021,12,championship,/match/millwall-fc/cardiff-city-fc/2021,"Saturday, 21 November 2020, 16:00", Scott G.,3,0,0,0,Draw
139,Preston North End,Sheffield Wednesday,1-0,https://www.besoccer.com/match/preston-north-end/sheffield-wednesday-fc/202175736,2021,12,championship,/match/preston-north-end/sheffield-wednesday-fc/2021,"Saturday, 21 November 2020, 16:00", Webb D.,0,0,1,1,Home Win
